岗位类型,专业类,关联度
班主任,法律类,0.4
插画师,计算机与信息科学类,0.4
班主任,政治学类,0.4
班主任,经济管理类,0.4
班主任,工商管理类,0.4
班主任,社会学类,0.4
班主任,财会、税务、审计与统计类,0.4
班主任,环境与安全类,0.4
班主任,建筑类,0.4
班主任,海洋与渔业类,0.4
班主任,生物类,0.4
班主任,动物生产类,0.4
班主任,植物生产类,0.4
班主任,林业类,0.4
班主任,农林业工程类,0.4
班主任,水电类,0.4
班主任,交通运输类,0.4
班主任,艺术类,0.8
班主任,公安类,0.4
班主任,地质及测绘类,0.4
班主任,药学类,0.4
班主任,理化类,0.4
班主任,轻工纺织品食品类,0.4
班主任,大气科学类,0.4
班主任,心理学类,0.6
班主任,材料类,0.4
班主任,机械与仪表类,0.4
班主任,体育学类,0.9
班主任,非汉语言文学类,0.7
摄影师,文秘类,0.4
摄影师,哲学、马克思主义理论类,0.4
摄影师,教育学类,0.4
摄影师,新闻传播学类,0.8
摄影师,历史学类,0.4
摄影师,档案学类,0.4
摄影师,法律类,0.4
制片,计算机与信息科学类,0.4
摄影师,政治学类,0.4
摄影师,经济管理类,0.4
摄影师,工商管理类,0.4
摄影师,社会学类,0.4
摄影师,财会、税务、审计与统计类,0.4
摄影师,环境与安全类,0.6
摄影师,建筑类,0.4
摄影师,海洋与渔业类,0.4
摄影师,生物类,0.4
摄影师,动物生产类,0.4
摄影师,植物生产类,0.4
摄影师,林业类,0.4
摄影师,农林业工程类,0.4
摄影师,水电类,0.4
摄影师,交通运输类,0.4
摄影师,艺术类,0.8
摄影师,公安类,0.4
摄影师,地质及测绘类,0.4
摄影师,药学类,0.4
摄影师,理化类,0.4
摄影师,轻工纺织品食品类,0.4
摄影师,大气科学类,0.4
摄影师,心理学类,0.4
摄影师,材料类,0.4
摄影师,机械与仪表类,0.4
摄影师,体育学类,0.4
摄影师,非汉语言文学类,0.4
摄影,文秘类,0.4
摄影,哲学、马克思主义理论类,0.4
摄影,教育学类,0.4
摄影,新闻传播学类,0.8
摄影,历史学类,0.4
摄影,档案学类,0.4
摄影,法律类,0.4
记者,计算机与信息科学类,0.4
摄影,政治学类,0.4
摄影,经济管理类,0.4
摄影,工商管理类,0.4
摄影,社会学类,0.4
摄影,财会、税务、审计与统计类,0.4
摄影,环境与安全类,0.6
摄影,建筑类,0.4
摄影,海洋与渔业类,0.4
摄影,生物类,0.4
摄影,动物生产类,0.4
摄影,植物生产类,0.4
摄影,林业类,0.4
摄影,农林业工程类,0.4
摄影,水电类,0.4
摄影,交通运输类,0.4
摄影,艺术类,0.8
摄影,公安类,0.4
摄影,地质及测绘类,0.4
摄影,药学类,0.4
摄影,理化类,0.4
摄影,轻工纺织品食品类,0.4
摄影,大气科学类,0.4
摄影,心理学类,0.4
摄影,材料类,0.4
摄影,机械与仪表类,0.4
摄影,体育学类,0.4
摄影,非汉语言文学类,0.4
制片,文秘类,0.4
制片,哲学、马克思主义理论类,0.4
制片,教育学类,0.4
制片,新闻传播学类,0.6
制片,历史学类,0.4
制片,档案学类,0.4
制片,法律类,0.4
策划经理,计算机与信息科学类,0.4
制片,政治学类,0.4
制片,经济管理类,0.4
制片,工商管理类,0.4
制片,社会学类,0.4
制片,财会、税务、审计与统计类,0.4
制片,环境与安全类,0.4
制片,建筑类,0.4
制片,海洋与渔业类,0.3
制片,生物类,0.3
制片,动物生产类,0.4
制片,植物生产类,0.4
制片,林业类,0.4
制片,农林业工程类,0.3
制片,水电类,0.3
制片,交通运输类,0.3
制片,艺术类,0.8
制片,公安类,0.4
制片,地质及测绘类,0.4
制片,药学类,0.4
制片,理化类,0.4
制片,轻工纺织品食品类,0.4
制片,大气科学类,0.4
制片,心理学类,0.4
制片,材料类,0.3
制片,机械与仪表类,0.4
制片,体育学类,0.2
制片,非汉语言文学类,0.3
记者,文秘类,0.6
记者,哲学、马克思主义理论类,0.6
记者,教育学类,0.4
记者,新闻传播学类,0.9
记者,历史学类,0.4
记者,档案学类,0.4
记者,法律类,0.4
广告审核,计算机与信息科学类,0.4
记者,政治学类,0.4
记者,经济管理类,0.4
记者,工商管理类,0.4
记者,社会学类,0.6
记者,财会、税务、审计与统计类,0.4
记者,环境与安全类,0.4
记者,建筑类,0.3
记者,海洋与渔业类,0.3
记者,生物类,0.4
记者,动物生产类,0.4
记者,植物生产类,0.4
记者,林业类,0.4
记者,农林业工程类,0.2
记者,水电类,0.4
记者,交通运输类,0.4
记者,艺术类,0.6
记者,公安类,0.4
记者,地质及测绘类,0.4
记者,药学类,0.4
记者,理化类,0.4
记者,轻工纺织品食品类,0.4
记者,大气科学类,0.4
记者,心理学类,0.4
记者,材料类,0.4
记者,机械与仪表类,0.4
记者,体育学类,0.4
记者,非汉语言文学类,0.4
剪辑,文秘类,0.6
剪辑,哲学、马克思主义理论类,0.4
剪辑,教育学类,0.4
剪辑,新闻传播学类,0.9
剪辑,历史学类,0.4
剪辑,档案学类,0.4
剪辑,法律类,0.4
医美,计算机与信息科学类,0.4
剪辑,政治学类,0.4
剪辑,经济管理类,0.4
剪辑,工商管理类,0.4
剪辑,社会学类,0.4
剪辑,财会、税务、审计与统计类,0.4
剪辑,环境与安全类,0.4
剪辑,建筑类,0.3
剪辑,海洋与渔业类,0.4
剪辑,生物类,0.4
剪辑,动物生产类,0.4
剪辑,植物生产类,0.4
剪辑,林业类,0.4
剪辑,农林业工程类,0.4
剪辑,水电类,0.4
剪辑,交通运输类,0.4
剪辑,艺术类,0.7
剪辑,公安类,0.4
剪辑,地质及测绘类,0.4
剪辑,药学类,0.4
剪辑,理化类,0.4
剪辑,轻工纺织品食品类,0.4
剪辑,大气科学类,0.4
剪辑,心理学类,0.4
剪辑,材料类,0.4
剪辑,机械与仪表类,0.4
剪辑,体育学类,0.3
剪辑,非汉语言文学类,0.4
策划经理,文秘类,0.6
策划经理,哲学、马克思主义理论类,0.4
策划经理,教育学类,0.4
策划经理,新闻传播学类,0.4
策划经理,历史学类,0.4
策划经理,档案学类,0.4
策划经理,法律类,0.4
导游,计算机与信息科学类,0.4
策划经理,政治学类,0.4
策划经理,经济管理类,0.7
策划经理,工商管理类,0.6
策划经理,社会学类,0.4
策划经理,财会、税务、审计与统计类,0.6
策划经理,环境与安全类,0.4
策划经理,建筑类,0.4
策划经理,海洋与渔业类,0.4
策划经理,生物类,0.4
策划经理,动物生产类,0.4
策划经理,植物生产类,0.4
策划经理,林业类,0.4
策划经理,农林业工程类,0.4
策划经理,水电类,0.4
策划经理,交通运输类,0.4
策划经理,艺术类,0.4
策划经理,公安类,0.4
策划经理,地质及测绘类,0.4
策划经理,药学类,0.4
策划经理,理化类,0.4
策划经理,轻工纺织品食品类,0.4
策划经理,大气科学类,0.4
策划经理,心理学类,0.4
策划经理,材料类,0.4
策划经理,机械与仪表类,0.4
策划经理,体育学类,0.4
策划经理,非汉语言文学类,0.4
广告制作,文秘类,0.4
广告制作,哲学、马克思主义理论类,0.4
广告制作,教育学类,0.4
广告制作,新闻传播学类,0.9
广告制作,历史学类,0.4
广告制作,档案学类,0.4
广告制作,法律类,0.4
旅游计调,计算机与信息科学类,0.4
广告制作,政治学类,0.4
广告制作,经济管理类,0.4
广告制作,工商管理类,0.4
广告制作,社会学类,0.4
广告制作,财会、税务、审计与统计类,0.4
广告制作,环境与安全类,0.4
广告制作,建筑类,0.4
广告制作,海洋与渔业类,0.4
广告制作,生物类,0.4
广告制作,动物生产类,0.4
广告制作,植物生产类,0.4
广告制作,林业类,0.4
广告制作,农林业工程类,0.4
广告制作,水电类,0.4
广告制作,交通运输类,0.4
广告制作,艺术类,0.7
广告制作,公安类,0.4
广告制作,地质及测绘类,0.4
广告制作,药学类,0.4
广告制作,理化类,0.4
广告制作,轻工纺织品食品类,0.4
广告制作,大气科学类,0.4
广告制作,心理学类,0.4
广告制作,材料类,0.4
广告制作,机械与仪表类,0.4
广告制作,体育学类,0.3
广告制作,非汉语言文学类,0.4
广告审核,文秘类,0.6
广告审核,哲学、马克思主义理论类,0.4
广告审核,教育学类,0.4
广告审核,新闻传播学类,0.8
广告审核,历史学类,0.4
广告审核,档案学类,0.4
广告审核,法律类,0.4
收银员,计算机与信息科学类,0.4
广告审核,政治学类,0.4
广告审核,经济管理类,0.4
广告审核,工商管理类,0.6
广告审核,社会学类,0.4
广告审核,财会、税务、审计与统计类,0.4
广告审核,环境与安全类,0.4
广告审核,建筑类,0.3
广告审核,海洋与渔业类,0.4
广告审核,生物类,0.4
广告审核,动物生产类,0.4
广告审核,植物生产类,0.4
广告审核,林业类,0.4
广告审核,农林业工程类,0.4
广告审核,水电类,0.4
广告审核,交通运输类,0.4
广告审核,艺术类,0.7
广告审核,公安类,0.4
广告审核,地质及测绘类,0.4
广告审核,药学类,0.4
广告审核,理化类,0.4
广告审核,轻工纺织品食品类,0.4
广告审核,大气科学类,0.4
广告审核,心理学类,0.4
广告审核,材料类,0.4
广告审核,机械与仪表类,0.4
广告审核,体育学类,0.4
广告审核,非汉语言文学类,0.4
平面设计,文秘类,0.6
平面设计,哲学、马克思主义理论类,0.4
平面设计,教育学类,0.4
平面设计,新闻传播学类,0.9
平面设计,历史学类,0.4
平面设计,档案学类,0.4
平面设计,法律类,0.4
收银,计算机与信息科学类,0.4
平面设计,政治学类,0.4
平面设计,经济管理类,0.4
平面设计,工商管理类,0.4
平面设计,社会学类,0.4
平面设计,财会、税务、审计与统计类,0.4
平面设计,环境与安全类,0.4
平面设计,建筑类,0.3
平面设计,海洋与渔业类,0.4
平面设计,生物类,0.2
平面设计,动物生产类,0.4
平面设计,植物生产类,0.4
平面设计,林业类,0.4
平面设计,农林业工程类,0.4
平面设计,水电类,0.4
平面设计,交通运输类,0.4
平面设计,艺术类,0.9
平面设计,公安类,0.4
平面设计,地质及测绘类,0.4
平面设计,药学类,0.4
平面设计,理化类,0.4
平面设计,轻工纺织品食品类,0.4
平面设计,大气科学类,0.4
平面设计,心理学类,0.4
平面设计,材料类,0.4
平面设计,机械与仪表类,0.6
平面设计,体育学类,0.4
平面设计,非汉语言文学类,0.4
美容师,文秘类,0.4
美容师,哲学、马克思主义理论类,0.3
美容师,教育学类,0.4
美容师,新闻传播学类,0.4
美容师,历史学类,0.4
美容师,档案学类,0.4
美容师,法律类,0.4
家政,计算机与信息科学类,0.4
美容师,政治学类,0.4
美容师,经济管理类,0.4
美容师,工商管理类,0.4
美容师,社会学类,0.4
美容师,财会、税务、审计与统计类,0.4
美容师,环境与安全类,0.4
美容师,建筑类,0.4
美容师,海洋与渔业类,0.4
美容师,生物类,0.4
美容师,动物生产类,0.4
美容师,植物生产类,0.4
美容师,林业类,0.4
美容师,农林业工程类,0.4
美容师,水电类,0.4
美容师,交通运输类,0.4
美容师,艺术类,0.6
美容师,公安类,0.4
美容师,地质及测绘类,0.4
美容师,药学类,0.6
美容师,理化类,0.4
美容师,轻工纺织品食品类,0.4
美容师,大气科学类,0.4
美容师,心理学类,0.4
美容师,材料类,0.4
美容师,机械与仪表类,0.4
美容师,体育学类,0.4
美容师,非汉语言文学类,0.4
医美,文秘类,0.4
医美,哲学、马克思主义理论类,0.4
医美,教育学类,0.4
医美,新闻传播学类,0.4
医美,历史学类,0.4
医美,档案学类,0.4
医美,法律类,0.4
美容导师,计算机与信息科学类,0.4
医美,政治学类,0.3
医美,经济管理类,0.4
医美,工商管理类,0.4
医美,社会学类,0.4
医美,财会、税务、审计与统计类,0.4
医美,环境与安全类,0.4
医美,建筑类,0.4
医美,海洋与渔业类,0.4
医美,生物类,0.4
医美,动物生产类,0.4
医美,植物生产类,0.4
医美,林业类,0.4
医美,农林业工程类,0.4
医美,水电类,0.4
医美,交通运输类,0.4
医美,艺术类,0.6
医美,公安类,0.4
医美,地质及测绘类,0.4
医美,药学类,0.7
医美,理化类,0.4
医美,轻工纺织品食品类,0.4
医美,大气科学类,0.4
医美,心理学类,0.4
医美,材料类,0.4
医美,机械与仪表类,0.4
医美,体育学类,0.4
医美,非汉语言文学类,0.4
导游,文秘类,0.6
导游,哲学、马克思主义理论类,0.4
导游,教育学类,0.4
导游,新闻传播学类,0.4
导游,历史学类,0.4
导游,档案学类,0.4
导游,法律类,0.4
健身教练,计算机与信息科学类,0.4
导游,政治学类,0.4
导游,经济管理类,0.4
导游,工商管理类,0.4
导游,社会学类,0.7
导游,财会、税务、审计与统计类,0.4
导游,环境与安全类,0.4
导游,建筑类,0.4
导游,海洋与渔业类,0.4
导游,生物类,0.4
导游,动物生产类,0.4
导游,植物生产类,0.4
导游,林业类,0.4
导游,农林业工程类,0.4
导游,水电类,0.4
导游,交通运输类,0.4
导游,艺术类,0.6
导游,公安类,0.4
导游,地质及测绘类,0.4
导游,药学类,0.4
导游,理化类,0.4
导游,轻工纺织品食品类,0.4
导游,大气科学类,0.4
导游,心理学类,0.6
导游,材料类,0.4
导游,机械与仪表类,0.4
导游,体育学类,0.4
导游,非汉语言文学类,0.6
旅游计调,文秘类,0.6
旅游计调,哲学、马克思主义理论类,0.4
旅游计调,教育学类,0.4
旅游计调,新闻传播学类,0.6
旅游计调,历史学类,0.4
旅游计调,档案学类,0.4
旅游计调,法律类,0.4
签证,计算机与信息科学类,0.4
旅游计调,政治学类,0.4
旅游计调,经济管理类,0.4
旅游计调,工商管理类,0.4
旅游计调,社会学类,0.6
旅游计调,财会、税务、审计与统计类,0.4
旅游计调,环境与安全类,0.4
旅游计调,建筑类,0.4
旅游计调,海洋与渔业类,0.4
旅游计调,生物类,0.4
旅游计调,动物生产类,0.4
旅游计调,植物生产类,0.4
旅游计调,林业类,0.4
旅游计调,农林业工程类,0.4
旅游计调,水电类,0.4
旅游计调,交通运输类,0.4
旅游计调,艺术类,0.6
旅游计调,公安类,0.4
旅游计调,地质及测绘类,0.4
旅游计调,药学类,0.4
旅游计调,理化类,0.4
旅游计调,轻工纺织品食品类,0.4
旅游计调,大气科学类,0.4
旅游计调,心理学类,0.4
旅游计调,材料类,0.3
旅游计调,机械与仪表类,0.4
旅游计调,体育学类,0.4
旅游计调,非汉语言文学类,0.4
旅游销售,文秘类,0.6
旅游销售,哲学、马克思主义理论类,0.4
旅游销售,教育学类,0.4
旅游销售,新闻传播学类,0.4
旅游销售,历史学类,0.4
旅游销售,档案学类,0.4
旅游销售,法律类,0.4
票务,计算机与信息科学类,0.4
旅游销售,政治学类,0.4
旅游销售,经济管理类,0.4
旅游销售,工商管理类,0.4
旅游销售,社会学类,0.4
旅游销售,财会、税务、审计与统计类,0.6
旅游销售,环境与安全类,0.4
旅游销售,建筑类,0.4
旅游销售,海洋与渔业类,0.4
旅游销售,生物类,0.4
旅游销售,动物生产类,0.4
旅游销售,植物生产类,0.4
旅游销售,林业类,0.4
旅游销售,农林业工程类,0.4
旅游销售,水电类,0.4
旅游销售,交通运输类,0.4
旅游销售,艺术类,0.6
旅游销售,公安类,0.4
旅游销售,地质及测绘类,0.4
旅游销售,药学类,0.4
旅游销售,理化类,0.4
旅游销售,轻工纺织品食品类,0.4
旅游销售,大气科学类,0.6
旅游销售,心理学类,0.4
旅游销售,材料类,0.4
旅游销售,机械与仪表类,0.4
旅游销售,体育学类,0.4
旅游销售,非汉语言文学类,0.4
收银员,文秘类,0.4
收银员,哲学、马克思主义理论类,0.4
收银员,教育学类,0.4
收银员,新闻传播学类,0.4
收银员,历史学类,0.4
收银员,档案学类,0.4
收银员,法律类,0.4
服务业,计算机与信息科学类,0.4
收银员,政治学类,0.4
收银员,经济管理类,0.7
收银员,工商管理类,0.4
收银员,社会学类,0.4
收银员,财会、税务、审计与统计类,0.7
收银员,环境与安全类,0.4
收银员,建筑类,0.4
收银员,海洋与渔业类,0.4
收银员,生物类,0.4
收银员,动物生产类,0.4
收银员,植物生产类,0.4
收银员,林业类,0.4
收银员,农林业工程类,0.4
收银员,水电类,0.4
收银员,交通运输类,0.4
收银员,艺术类,0.4
收银员,公安类,0.4
收银员,地质及测绘类,0.4
收银员,药学类,0.4
收银员,理化类,0.4
收银员,轻工纺织品食品类,0.4
收银员,大气科学类,0.4
收银员,心理学类,0.4
收银员,材料类,0.4
收银员,机械与仪表类,0.4
收银员,体育学类,0.4
收银员,非汉语言文学类,0.4
收银,文秘类,0.4
收银,哲学、马克思主义理论类,0.4
收银,教育学类,0.4
收银,新闻传播学类,0.4
收银,历史学类,0.4
收银,档案学类,0.4
收银,法律类,0.4
酒店前台,计算机与信息科学类,0.4
收银,政治学类,0.4
收银,经济管理类,0.4
收银,工商管理类,0.4
收银,社会学类,0.4
收银,财会、税务、审计与统计类,0.8
收银,环境与安全类,0.4
收银,建筑类,0.4
收银,海洋与渔业类,0.4
收银,生物类,0.4
收银,动物生产类,0.4
收银,植物生产类,0.4
收银,林业类,0.4
收银,农林业工程类,0.4
收银,水电类,0.4
收银,交通运输类,0.4
收银,艺术类,0.4
收银,公安类,0.4
收银,地质及测绘类,0.4
收银,药学类,0.4
收银,理化类,0.4
收银,轻工纺织品食品类,0.4
收银,大气科学类,0.4
收银,心理学类,0.4
收银,材料类,0.4
收银,机械与仪表类,0.4
收银,体育学类,0.4
收银,非汉语言文学类,0.4
家政,文秘类,0.4
家政,哲学、马克思主义理论类,0.4
家政,教育学类,0.4
家政,新闻传播学类,0.4
家政,历史学类,0.4
家政,档案学类,0.4
家政,法律类,0.4
酒店管理,计算机与信息科学类,0.4
家政,政治学类,0.4
家政,经济管理类,0.4
家政,工商管理类,0.4
家政,社会学类,0.6
家政,财会、税务、审计与统计类,0.4
家政,环境与安全类,0.6
家政,建筑类,0.4
家政,海洋与渔业类,0.4
家政,生物类,0.4
家政,动物生产类,0.4
家政,植物生产类,0.4
家政,林业类,0.4
家政,农林业工程类,0.4
家政,水电类,0.4
家政,交通运输类,0.4
家政,艺术类,0.4
家政,公安类,0.4
家政,地质及测绘类,0.4
家政,药学类,0.4
家政,理化类,0.4
家政,轻工纺织品食品类,0.4
家政,大气科学类,0.4
家政,心理学类,0.6
家政,材料类,0.4
家政,机械与仪表类,0.4
家政,体育学类,0.4
家政,非汉语言文学类,0.4
美容导师,文秘类,0.4
美容导师,哲学、马克思主义理论类,0.4
美容导师,教育学类,0.4
美容导师,新闻传播学类,0.4
美容导师,历史学类,0.4
美容导师,档案学类,0.4
美容导师,法律类,0.4
餐饮管理,计算机与信息科学类,0.4
美容导师,政治学类,0.4
美容导师,经济管理类,0.4
美容导师,工商管理类,0.4
美容导师,社会学类,0.6
美容导师,财会、税务、审计与统计类,0.4
美容导师,环境与安全类,0.6
美容导师,建筑类,0.4
美容导师,海洋与渔业类,0.4
美容导师,生物类,0.4
美容导师,动物生产类,0.4
美容导师,植物生产类,0.4
美容导师,林业类,0.4
美容导师,农林业工程类,0.4
美容导师,水电类,0.4
美容导师,交通运输类,0.4
美容导师,艺术类,0.6
美容导师,公安类,0.4
美容导师,地质及测绘类,0.4
美容导师,药学类,0.6
美容导师,理化类,0.4
美容导师,轻工纺织品食品类,0.4
美容导师,大气科学类,0.4
美容导师,心理学类,0.4
美容导师,材料类,0.4
美容导师,机械与仪表类,0.4
美容导师,体育学类,0.3
美容导师,非汉语言文学类,0.4
健身教练,文秘类,0.4
健身教练,哲学、马克思主义理论类,0.4
健身教练,教育学类,0.6
健身教练,新闻传播学类,0.4
健身教练,历史学类,0.4
健身教练,档案学类,0.4
健身教练,法律类,0.4
保安,计算机与信息科学类,0.4
健身教练,政治学类,0.4
健身教练,经济管理类,0.4
健身教练,工商管理类,0.4
健身教练,社会学类,0.4
健身教练,财会、税务、审计与统计类,0.4
健身教练,环境与安全类,0.4
健身教练,建筑类,0.4
健身教练,海洋与渔业类,0.4
健身教练,生物类,0.4
健身教练,动物生产类,0.4
健身教练,植物生产类,0.4
健身教练,林业类,0.4
健身教练,农林业工程类,0.4
健身教练,水电类,0.4
健身教练,交通运输类,0.4
健身教练,艺术类,0.7
健身教练,公安类,0.6
健身教练,地质及测绘类,0.4
健身教练,药学类,0.4
健身教练,理化类,0.4
健身教练,轻工纺织品食品类,0.4
健身教练,大气科学类,0.4
健身教练,心理学类,0.4
健身教练,材料类,0.4
健身教练,机械与仪表类,0.4
健身教练,体育学类,0.7
健身教练,非汉语言文学类,0.4
旅游顾问,文秘类,0.4
旅游顾问,哲学、马克思主义理论类,0.4
旅游顾问,教育学类,0.4
旅游顾问,新闻传播学类,0.6
旅游顾问,历史学类,0.4
旅游顾问,档案学类,0.4
旅游顾问,法律类,0.4
保洁,计算机与信息科学类,0.4
旅游顾问,政治学类,0.4
旅游顾问,经济管理类,0.4
旅游顾问,工商管理类,0.4
旅游顾问,社会学类,0.6
旅游顾问,财会、税务、审计与统计类,0.4
旅游顾问,环境与安全类,0.4
旅游顾问,建筑类,0.4
旅游顾问,海洋与渔业类,0.4
旅游顾问,生物类,0.6
旅游顾问,动物生产类,0.4
旅游顾问,植物生产类,0.4
旅游顾问,林业类,0.6
旅游顾问,农林业工程类,0.4
旅游顾问,水电类,0.4
旅游顾问,交通运输类,0.4
旅游顾问,艺术类,0.4
旅游顾问,公安类,0.4
旅游顾问,地质及测绘类,0.4
旅游顾问,药学类,0.4
旅游顾问,理化类,0.4
旅游顾问,轻工纺织品食品类,0.3
旅游顾问,大气科学类,0.4
旅游顾问,心理学类,0.4
旅游顾问,材料类,0.4
旅游顾问,机械与仪表类,0.4
旅游顾问,体育学类,0.4
旅游顾问,非汉语言文学类,0.4
签证,文秘类,0.8
签证,哲学、马克思主义理论类,0.4
签证,教育学类,0.4
签证,新闻传播学类,0.4
签证,历史学类,0.4
签证,档案学类,0.6
签证,法律类,0.4
司机,计算机与信息科学类,0.4
签证,政治学类,0.4
签证,经济管理类,0.4
签证,工商管理类,0.4
签证,社会学类,0.6
签证,财会、税务、审计与统计类,0.6
签证,环境与安全类,0.4
签证,建筑类,0.4
签证,海洋与渔业类,0.4
签证,生物类,0.4
签证,动物生产类,0.4
签证,植物生产类,0.4
签证,林业类,0.4
签证,农林业工程类,0.4
签证,水电类,0.4
签证,交通运输类,0.4
签证,艺术类,0.4
签证,公安类,0.6
签证,地质及测绘类,0.4
签证,药学类,0.4
签证,理化类,0.4
签证,轻工纺织品食品类,0.4
签证,大气科学类,0.4
签证,心理学类,0.4
签证,材料类,0.4
签证,机械与仪表类,0.4
签证,体育学类,0.4
签证,非汉语言文学类,0.4
票务,文秘类,0.8
票务,哲学、马克思主义理论类,0.4
票务,教育学类,0.4
票务,新闻传播学类,0.4
票务,历史学类,0.4
票务,档案学类,0.6
票务,法律类,0.4
市场策划,计算机与信息科学类,0.4
票务,政治学类,0.4
票务,经济管理类,0.4
票务,工商管理类,0.4
票务,社会学类,0.4
票务,财会、税务、审计与统计类,0.8
票务,环境与安全类,0.4
票务,建筑类,0.4
票务,海洋与渔业类,0.4
票务,生物类,0.4
票务,动物生产类,0.4
票务,植物生产类,0.4
票务,林业类,0.4
票务,农林业工程类,0.4
票务,水电类,0.4
票务,交通运输类,0.4
票务,艺术类,0.4
票务,公安类,0.4
票务,地质及测绘类,0.4
票务,药学类,0.4
票务,理化类,0.4
票务,轻工纺织品食品类,0.3
票务,大气科学类,0.4
票务,心理学类,0.4
票务,材料类,0.4
票务,机械与仪表类,0.4
票务,体育学类,0.4
票务,非汉语言文学类,0.4
服务业,文秘类,0.7
服务业,哲学、马克思主义理论类,0.4
服务业,教育学类,0.4
服务业,新闻传播学类,0.6
服务业,历史学类,0.4
服务业,档案学类,0.4
服务业,法律类,0.4
市场顾问,计算机与信息科学类,0.4
服务业,政治学类,0.4
服务业,经济管理类,0.4
服务业,工商管理类,0.6
服务业,社会学类,0.4
服务业,财会、税务、审计与统计类,0.7
服务业,环境与安全类,0.4
服务业,建筑类,0.4
服务业,海洋与渔业类,0.4
服务业,生物类,0.4
服务业,动物生产类,0.4
服务业,植物生产类,0.4
服务业,林业类,0.4
服务业,农林业工程类,0.4
服务业,水电类,0.4
服务业,交通运输类,0.4
服务业,艺术类,0.4
服务业,公安类,0.7
服务业,地质及测绘类,0.4
服务业,药学类,0.4
服务业,理化类,0.4
服务业,轻工纺织品食品类,0.4
服务业,大气科学类,0.4
服务业,心理学类,0.6
服务业,材料类,0.4
服务业,机械与仪表类,0.4
服务业,体育学类,0.4
服务业,非汉语言文学类,0.4
酒店前台,文秘类,0.6
酒店前台,哲学、马克思主义理论类,0.4
酒店前台,教育学类,0.4
酒店前台,新闻传播学类,0.4
酒店前台,历史学类,0.4
酒店前台,档案学类,0.4
酒店前台,法律类,0.4
市场推广,计算机与信息科学类,0.4
酒店前台,政治学类,0.4
酒店前台,经济管理类,0.7
酒店前台,工商管理类,0.7
酒店前台,社会学类,0.4
酒店前台,财会、税务、审计与统计类,0.8
酒店前台,环境与安全类,0.4
酒店前台,建筑类,0.4
酒店前台,海洋与渔业类,0.4
酒店前台,生物类,0.4
酒店前台,动物生产类,0.4
酒店前台,植物生产类,0.4
酒店前台,林业类,0.4
酒店前台,农林业工程类,0.4
酒店前台,水电类,0.4
酒店前台,交通运输类,0.4
酒店前台,艺术类,0.4
酒店前台,公安类,0.6
酒店前台,地质及测绘类,0.4
酒店前台,药学类,0.4
酒店前台,理化类,0.4
酒店前台,轻工纺织品食品类,0.4
酒店前台,大气科学类,0.3
酒店前台,心理学类,0.4
酒店前台,材料类,0.4
酒店前台,机械与仪表类,0.4
酒店前台,体育学类,0.4
酒店前台,非汉语言文学类,0.4
酒店管理,文秘类,0.7
酒店管理,哲学、马克思主义理论类,0.4
酒店管理,教育学类,0.4
酒店管理,新闻传播学类,0.4
酒店管理,历史学类,0.4
酒店管理,档案学类,0.4
酒店管理,法律类,0.4
活动策划,计算机与信息科学类,0.4
酒店管理,政治学类,0.4
酒店管理,经济管理类,0.7
酒店管理,工商管理类,0.8
酒店管理,社会学类,0.4
酒店管理,财会、税务、审计与统计类,0.9
酒店管理,环境与安全类,0.4
酒店管理,建筑类,0.4
酒店管理,海洋与渔业类,0.4
酒店管理,生物类,0.4
酒店管理,动物生产类,0.4
酒店管理,植物生产类,0.4
酒店管理,林业类,0.4
酒店管理,农林业工程类,0.4
酒店管理,水电类,0.4
酒店管理,交通运输类,0.4
酒店管理,艺术类,0.4
酒店管理,公安类,0.4
酒店管理,地质及测绘类,0.4
酒店管理,药学类,0.4
酒店管理,理化类,0.4
酒店管理,轻工纺织品食品类,0.3
酒店管理,大气科学类,0.4
酒店管理,心理学类,0.4
酒店管理,材料类,0.4
酒店管理,机械与仪表类,0.4
酒店管理,体育学类,0.4
酒店管理,非汉语言文学类,0.4
餐饮管理,文秘类,0.6
餐饮管理,哲学、马克思主义理论类,0.4
餐饮管理,教育学类,0.4
餐饮管理,新闻传播学类,0.4
餐饮管理,历史学类,0.4
餐饮管理,档案学类,0.4
餐饮管理,法律类,0.4
销售经理,计算机与信息科学类,0.4
餐饮管理,政治学类,0.4
餐饮管理,经济管理类,0.8
餐饮管理,工商管理类,0.8
餐饮管理,社会学类,0.4
餐饮管理,财会、税务、审计与统计类,0.7
餐饮管理,环境与安全类,0.4
餐饮管理,建筑类,0.4
餐饮管理,海洋与渔业类,0.4
餐饮管理,生物类,0.3
餐饮管理,动物生产类,0.4
餐饮管理,植物生产类,0.4
餐饮管理,林业类,0.4
餐饮管理,农林业工程类,0.4
餐饮管理,水电类,0.4
餐饮管理,交通运输类,0.4
餐饮管理,艺术类,0.4
餐饮管理,公安类,0.6
餐饮管理,地质及测绘类,0.4
餐饮管理,药学类,0.4
餐饮管理,理化类,0.4
餐饮管理,轻工纺织品食品类,0.4
餐饮管理,大气科学类,0.4
餐饮管理,心理学类,0.6
餐饮管理,材料类,0.4
餐饮管理,机械与仪表类,0.4
餐饮管理,体育学类,0.4
餐饮管理,非汉语言文学类,0.4
保安,文秘类,0.4
保安,哲学、马克思主义理论类,0.4
保安,教育学类,0.4
保安,新闻传播学类,0.4
