序号,医疗机构名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
258,龙口市徐福街道卫生院,120.49578833300677,37.68434809845478,0,25,乡镇,bd09,,删除
259,龙口市新嘉街道卫生院,120.49721681842873,37.663449324221936,0,25,乡镇,bd09,,删除
260,龙口市望马史家卫生室,120.41229685450124,37.60128912324956,0,50,村庄,bd09,,删除
261,龙口市石良中心卫生院,120.67240265220417,37.58082169841018,1,70,医疗,bd09,,删除
262,龙口市芦头卫生室,120.53769518335275,37.63304650001064,1,70,医疗,bd09,,删除
263,龙口市芦头镇卫生院,120.45989429059182,37.6219453001883,1,70,医疗,bd09,,删除
264,龙口市西梧桐卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
265,龙口市诸由观中心卫生院,120.59752089302846,37.69450690181485,1,70,医疗,bd09,,删除
266,龙口市迟家沟卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
267,龙口市韩家店卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
268,龙口市韩栾卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
269,龙口市高家河卫生室,120.35021927257311,37.65008455348725,1,70,医疗,bd09,,删除
270,龙口市麻家卫生室,120.45309411788129,37.600605747364035,1,70,医疗,bd09,,删除
271,龙口市黄山馆镇卫生院,120.28883940453458,37.553401978871605,1,70,医疗,bd09,,删除
272,龙口经济开发区医院,120.3389420350314,37.607261977839585,1,70,医疗,bd09,,删除
