序号,小区名称,经度,纬度,是否精确,可信度,地址类型,坐标系,错误,操作
297,龙港街道河北嘉元社区造纸厂小区,120.33464687706598,37.670116660907915,0,50,NoClass,bd09,,删除
298,龙港街道河北嘉元社区金沙路小区,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
299,龙港街道河北嘉元社区金沙路二区,120.33728142746565,37.67047077374868,0,80,门址,bd09,,删除
300,龙港街道河北嘉元社区振兴路小区,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
301,龙港街道河北嘉元社区河北路木材小区,120.34512641931485,37.66531743911703,0,30,道路,bd09,,删除
302,龙港街道河北嘉元社区康泰路一区,120.34101856692416,37.66691895266118,0,80,门址,bd09,,删除
303,龙港街道河北嘉元社区康泰路二区,120.34090362589967,37.6677895520487,0,80,门址,bd09,,删除
304,龙港街道河北嘉元社区二院家属楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
305,龙港街道河北嘉元社区房产南北楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
306,龙港街道河北嘉元社区疗养院楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
307,龙港街道河北嘉元社区招远金矿楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
308,龙港街道河北嘉元社区转播台院,120.34091318681193,37.666806312514694,1,70,生活服务,bd09,,删除
309,龙港街道河北嘉元社区港湾新村,120.33886810448791,37.66910358457369,1,70,地产小区,bd09,,删除
310,龙港街道花苑社区人民银行宿舍楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
311,龙港街道花苑社区老政府家属北楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
312,龙港街道花苑社区老政府家属楼,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
313,龙港街道花苑社区隆基小区,120.34189683134537,37.66300398045611,1,70,地产小区,bd09,,删除
314,龙港街道花苑社区塔北小区,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
315,龙口国际海员俱乐部家属楼,120.33822303130121,37.65799303464153,1,75,宾馆,bd09,,删除
316,龙口市家具厂（滨河小区）,120.33935130302174,37.66335284282332,1,70,地产小区,bd09,,删除
317,龙港街道花苑社区花苑北区一期,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
318,龙港街道花苑社区花苑小区二区,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
319,花苑北区三期,120.4883680600027,37.652035504423964,1,70,地产小区,bd09,,删除
320,龙港街道花苑社区塔南小区,120.3349176263467,37.6385965085596,0,25,乡镇,bd09,,删除
321,龙港街道花苑社区丽港小区,120.33775977514972,37.66003647674259,1,70,地产小区,bd09,,删除
322,龙港街道新港路社区新港小区,120.33106308723393,37.674424882341675,1,70,地产小区,bd09,,删除
323,龙港街道新港路社区金龙公寓,120.32862751150472,37.67363336357353,1,70,地产小区,bd09,,删除
324,龙港街道新港路社区玻璃厂,120.32679990894468,37.67728013431162,0,50,NoClass,bd09,,删除
325,龙港街道新港路社区口岸办、海事处小区,120.3269725632637,37.67051433258093,1,70,政府机构,bd09,,删除
326,龙港街道新港路社区东方食品冷藏小区,120.32292443931352,37.67914618452203,0,50,NoClass,bd09,,删除
327,龙港街道新港路社区新港路北小区,120.33106308723393,37.674424882341675,1,70,地产小区,bd09,,删除
328,龙港街道新港路社区边防检查站小区,120.3343291464071,37.67456026440136,1,70,政府机构,bd09,,删除
329,龙港街道新港路社区商检小区,120.33705864769917,37.67483324128839,0,30,道路,bd09,,删除
330,龙港街道新港路社区建行小区,120.33178667232222,37.67114864622808,1,70,金融,bd09,,删除
331,龙港街道新港路社区林场小区,120.33705864769917,37.67483324128839,0,30,道路,bd09,,删除
332,龙港街道梁家社区梁家东西区,120.37317178682801,37.67020906317264,0,50,村庄,bd09,,删除
333,龙港街道梁家社区康泰路小区,120.34174402957811,37.66913500464562,1,70,地产小区,bd09,,删除
334,龙港街道龙海社区龙海社区,120.33385205635076,37.63127444710426,1,70,地产小区,bd09,,删除
335,龙港街道新港路社区海迪小区,120.33865754167638,37.65198057794101,1,70,地产小区,bd09,,删除
336,龙港街道浅海社区胜海花园,120.26959805983306,37.6869081883444,1,70,地产小区,bd09,,删除
337,龙港街道红光社区水产隆海家苑,120.33527164854817,37.646099778818304,1,70,地产小区,bd09,,删除
338,龙港街道红光社区防疫站,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
339,龙港街道红光社区悦港小区,120.33812834990046,37.653401367882886,1,70,地产小区,bd09,,删除
340,水产通海家苑（15#-25#）,120.33694905442697,37.646200068697176,1,70,地产小区,bd09,,删除
341,龙港街道红光社区水产佳海家苑,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
342,龙港街道红光社区城建开发楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
343,龙港街道红光社区海滨小区,120.33865754167638,37.65198057794101,1,70,地产小区,bd09,,删除
344,龙港街道红光社区云龙小区,120.34100346651569,37.65598124719402,1,70,地产小区,bd09,,删除
345,龙港街道红光社区大连开发楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
346,龙港街道红光社区电业小区（和平开发楼、红光开发楼、电业家属楼）,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
347,龙港街道红光社区商检1#、2#楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
348,龙港街道红光社区商检3#楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
349,龙港街道红光社区酒厂家属楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
350,龙港街道红光社区工行家属楼,120.33899880793963,37.65697386347765,1,70,金融,bd09,,删除
351,龙港街道红光社区中行家属楼,120.3396214234886,37.65555542799041,1,70,金融,bd09,,删除
352,龙港街道红光社区渔港小区,120.3377766632933,37.6485740559723,1,70,地产小区,bd09,,删除
353,龙港街道红光社区水产裕海家苑（28#-30#）,120.3371898901342,37.65302460266016,1,70,地产小区,bd09,,删除
354,龙港街道红光社区水产37#楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
355,龙港街道红光社区新建行家属楼,120.33870146881583,37.65077939908237,1,70,地产小区,bd09,,删除
356,龙港街道红光社区旧建行家属楼,120.33895083842539,37.65488298288744,1,70,金融,bd09,,删除
357,龙港街道央各庄社区外贸粮油,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
358,龙港街道央各庄社区外贸小区,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
359,龙港街道央各庄社区水产静海,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
360,龙港街道央各庄社区冷藏干部楼,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
361,龙港街道央各庄社区百福小区,120.33417868023419,37.64174282321089,1,70,地产小区,bd09,,删除
362,龙港街道央各庄社区外运小区,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
363,龙港街道央各庄社区水建,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
364,龙港街道央各庄社区32户,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
365,龙港街道央各庄社区邮局网通,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
366,龙港街道央各庄社区二中队,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
367,龙港街道央各庄社区央格庄40户,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
368,龙港街道央各庄社区芙蓉北区,120.33754588860779,37.63630700030363,1,70,地产小区,bd09,,删除
369,龙港街道央各庄社区芙蓉南区,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
370,龙港街道央各庄社区海关,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
371,龙港街道央各庄社区点式工行楼,120.33639264399409,37.640082136173966,1,70,金融,bd09,,删除
372,龙港街道央各庄社区水文站,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
373,龙港街道央各庄社区针织厂南区,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
374,龙港街道央各庄社区针织厂北区,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
375,龙港街道央各庄社区酒厂,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
376,龙港街道央各庄社区水产隆海,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
377,龙港街道央各庄社区水校35、36号,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
378,龙港街道央各庄社区水产将军楼,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
379,龙港街道央各庄社区水产26.27号,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
380,龙港街道央各庄社区红光商城,120.33959321669558,37.643628704501005,1,75,购物,bd09,,删除
381,龙港街道央各庄社区冷藏小区,120.34043546794173,37.63808200407184,0,50,村庄,bd09,,删除
382,龙港街道央各庄社区怡海工行楼,120.33639264399409,37.640082136173966,1,70,金融,bd09,,删除
383,龙港街道新龙家苑社区六中家属楼,120.33808397360826,37.63035700378557,1,70,地产小区,bd09,,删除
384,龙港街道港湾名城,120.35598199225016,37.64063891733927,1,70,地产小区,bd09,,删除
385,东莱街道中韵家苑,120.53062767492244,37.66513005131493,1,70,地产小区,bd09,,删除
386,东莱街道开元小区,120.53391888664991,37.66024237474248,1,70,地产小区,bd09,,删除
387,龙港街道海岸华府,120.32431007556266,37.62476021643918,1,70,地产小区,bd09,,删除
388,龙港街道西海岸,120.32533369469128,37.6304684607908,1,70,地产小区,bd09,,删除
389,龙港街道海韵小区,120.33938993015866,37.648996129825605,1,70,地产小区,bd09,,删除
390,龙港街道怡海小区,120.42774905673113,37.70714774410575,1,70,地产小区,bd09,,删除
391,龙港街道隆基花城,120.34189683134537,37.66300398045611,1,70,地产小区,bd09,,删除
392,东莱街道东方怡景小区,120.54349877593052,37.64868112824497,1,70,地产小区,bd09,,删除
393,新嘉街道万豪·伊顿,120.47078507710314,37.64537510181018,1,70,地产小区,bd09,,删除
394,东莱街道财源佳园,120.5369027880624,37.64060655642445,1,70,地产小区,bd09,,删除
395,东莱街道沁园南区,120.54605077205382,37.64285199871004,1,70,地产小区,bd09,,删除
396,东莱街道博士小区,120.52473694671022,37.66033707477385,1,70,地产小区,bd09,,删除
397,东莱街道松青苑,120.52148597906961,37.65667925110464,1,70,地产小区,bd09,,删除
398,东莱街道龙门花园,120.50891500193242,37.651916937452434,1,70,地产小区,bd09,,删除
399,龙港街道中韵花园,120.33655523729139,37.644870788122276,1,70,地产小区,bd09,,删除
400,东莱街道阳光花园小区,120.50953303612329,37.65525202494863,1,70,地产小区,bd09,,删除
401,龙港街道星海国际,120.33812251091463,37.62749771673649,1,70,地产小区,bd09,,删除
402,龙港街道阳光康城,120.34110003435802,37.64820790905224,1,70,地产小区,bd09,,删除
403,龙港街道龙中家园,120.33898677064579,37.639296463213746,1,70,地产小区,bd09,,删除
404,烟台市莱州市城港路街道玉皇苑社区玉皇苑小区,119.94974407621993,37.21970838826581,1,70,地产小区,bd09,,删除
405,烟台市莱州市城港路街道玉皇苑社区开建小区,119.95044394604275,37.216424221318206,1,70,地产小区,bd09,,删除
406,烟台市莱州市城港路街道玉皇苑社区乐苑小区,119.95177415684192,37.220343910219206,1,70,地产小区,bd09,,删除
407,烟台市莱州市城港路街道玉皇苑社区城市丽景小区,119.94916071662173,37.217788929746575,1,70,地产小区,bd09,,删除
408,烟台市莱州市城港路街道玉皇苑社区建发小区,119.94974407621993,37.21970838826581,1,70,地产小区,bd09,,删除
409,烟台市烟台市莱州市城港路街道北苑社区粮建小区,119.95882540594249,37.20863768650186,1,70,地产小区,bd09,,删除
410,烟台市莱州市城港路街道北苑社区开元小区,119.9616539903323,37.20937497471507,1,70,地产小区,bd09,,删除
411,烟台市莱州市程郭镇坊苑社区坊苑小区,119.96662682997443,37.20337823458623,1,70,地产小区,bd09,,删除
412,烟台市莱州市程郭镇坊苑社区紫景花园小区,119.96638177223132,37.200826626994164,1,70,地产小区,bd09,,删除
413,烟台市莱州市程郭镇坊苑社区交通小区,119.96666366050036,37.20189031041924,0,50,NoClass,bd09,,删除
414,烟台市莱州市永安路街道泛华社区,119.9414995180799,37.18217730236106,0,25,乡镇,bd09,,删除
415,烟台市莱州市文昌路街道碑坡社区文苑世家,119.9706472861149,37.1883680024047,1,70,地产小区,bd09,,删除
416,烟台市莱州市文昌路街道碑坡社区博雅花园,119.97685457718885,37.1894674396347,1,70,地产小区,bd09,,删除
417,烟台市莱州市文昌路街道云峰社区东小区,119.98116329956746,37.18056625640486,1,70,地产小区,bd09,,删除
418,烟台市莱州市文昌路街道云峰社区云峰小区,119.96344242677213,37.18153520266772,1,70,地产小区,bd09,,删除
419,烟台市莱州市文昌路街道云峰社区元通小区,119.96722698788565,37.18154188749082,1,75,商务大厦,bd09,,删除
420,烟台市莱州市文昌路街道云峰社区合众小区,119.96552335148598,37.18075889657129,1,70,地产小区,bd09,,删除
421,烟台市莱州市文昌路街道云峰社区鑫盛家园,119.964682268037,37.17624990854094,1,70,地产小区,bd09,,删除
422,烟台市莱州市文昌路街道云峰社区自来水家属楼,119.98116329956746,37.18056625640486,1,70,地产小区,bd09,,删除
423,烟台市莱州市文昌路街道明苑社区云峰名苑,119.97554179351656,37.18436642343952,1,70,地产小区,bd09,,删除
424,烟台市莱州市文昌路街道明苑社区尚东城,119.96676238427591,37.18631462700093,1,70,地产小区,bd09,,删除
425,烟台市莱州市文昌路街道明苑社区云峰名苑D区,119.97827165413084,37.180714258726084,1,70,地产小区,bd09,,删除
426,烟台市莱州市文昌路街道明苑社区云峰花园,119.98116329956746,37.18056625640486,1,70,地产小区,bd09,,删除
427,烟台市莱州市文昌路街道光州社区玫瑰苑东区,119.9547894091167,37.19859874976591,1,70,地产小区,bd09,,删除
428,烟台市莱州市文昌路街道光州社区玫瑰苑西区,119.9547894091167,37.19859874976591,1,70,地产小区,bd09,,删除
429,烟台市莱州市文昌路街道光州社区宏福苑,119.94841539254011,37.19748967306853,1,70,地产小区,bd09,,删除
430,烟台市莱州市文昌路街道光州社区财政局,119.95312592697333,37.194887773420966,1,70,政府机构,bd09,,删除
431,烟台市莱州市文昌路街道光州社区工艺绣品厂,119.95409735455182,37.19540521405938,0,50,NoClass,bd09,,删除
432,烟台市莱州市文昌路街道光州社区法院,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
433,烟台市莱州市文昌路街道光州社区农行院内,119.9474789988765,37.18766773792967,1,75,购物,bd09,,删除
434,烟台市莱州市文昌路街道光州社区新城矿,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
435,烟台市莱州市文昌路街道光州社区农信社,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
436,烟台市莱州市文昌路街道光州社区审计局,119.94919862511426,37.195235393310845,1,70,政府机构,bd09,,删除
437,烟台市莱州市文昌路街道光州社区静虹公寓,119.94801124489118,37.19849785342719,1,70,地产小区,bd09,,删除
438,烟台市莱州市文昌路街道光州社区燃料公司,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
439,烟台市莱州市文昌路街道光州社区恒丰银行,119.94756254128893,37.19696527593427,1,70,金融,bd09,,删除
440,烟台市莱州市文昌路街道光州社区粮食局,119.95155299402536,37.19536496880467,1,70,政府机构,bd09,,删除
441,烟台市莱州市文昌路街道光州社区房产公寓,119.95166501272246,37.19581140245448,1,70,地产小区,bd09,,删除
442,烟台市莱州市文昌路街道光州社区物资局,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
443,烟台市莱州市文昌路街道光州社区金辉家园,119.95454435137358,37.19614823818674,1,70,地产小区,bd09,,删除
444,烟台市莱州市文昌路街道光州社区园林平房,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
445,烟台市莱州市文昌路街道东南隅社区艺苑小区,119.95275393866164,37.17904071567754,1,70,地产小区,bd09,,删除
446,烟台市莱州市文昌路街道东南隅社区金田公司,119.95235239609869,37.175979477081064,0,50,NoClass,bd09,,删除
447,烟台市莱州市文昌路街道东南隅社区公安局家属楼,119.94274142544744,37.19756505889692,0,50,NoClass,bd09,,删除
448,烟台市莱州市文昌路街道东南隅社区服装厂,119.94672109851773,37.1775961567398,1,70,地产小区,bd09,,删除
449,烟台市莱州市文昌路街道东南隅社区二四八楼、平房,119.94672109851773,37.1775961567398,1,70,地产小区,bd09,,删除
450,烟台市莱州市文昌路街道东南隅社区商住楼,119.94672109851773,37.1775961567398,1,70,地产小区,bd09,,删除
451,烟台市莱州市文昌路街道东关社区文博园小区,119.96007423026246,37.182852245056985,1,70,地产小区,bd09,,删除
452,烟台市莱州市文昌路街道东关社区东环路小区,119.95639629801296,37.17846242101947,1,70,地产小区,bd09,,删除
453,烟台市莱州市文昌路街道东关社区公安局家属楼,119.94274142544744,37.19756505889692,0,50,NoClass,bd09,,删除
454,烟台市莱州市文昌路街道东关社区工商家属楼,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
455,烟台市莱州市文昌路街道东关社区隔热材料厂,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
456,烟台市莱州市文昌路街道东关社区教体局,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
457,烟台市莱州市文昌路街道东关社区面粉厂,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
458,烟台市莱州市文昌路街道东关社区就业办,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
459,烟台市莱州市文昌路街道东关社区蔬菜公司,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
460,烟台市莱州市文昌路街道东关社区老一中,119.95642055226172,37.184927709641464,1,70,教育,bd09,,删除
461,烟台市莱州市文昌路街道东关社区干休所,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
462,烟台市莱州市文昌路街道东关社区军休所,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
463,烟台市莱州市文昌路街道东关社区平达,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
464,烟台市莱州市文昌路街道东关社区高职南校,119.94554458779133,37.20882170385842,1,70,教育,bd09,,删除
465,烟台市莱州市文昌路街道东关社区环保局,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
466,烟台市莱州市文昌路街道东关社区乡企局,119.95707918986164,37.17848628609556,0,50,村庄,bd09,,删除
467,烟台市莱州市文昌路街道双语社区教育路北区,119.95945709437711,37.19846465246546,1,70,地产小区,bd09,,删除
468,烟台市莱州市文昌路街道双语社区文华小区,119.96689892671341,37.19959290200155,1,70,地产小区,bd09,,删除
469,烟台市莱州市文昌路街道双语社区双语小区,119.96529060052835,37.19817849118488,1,70,地产小区,bd09,,删除
470,烟台市莱州市文昌路街道双语社区东庄头新村,119.95989142509119,37.197574473137095,1,70,地产小区,bd09,,删除
471,烟台市莱州市文昌路街道双语社区精磊宿舍楼,119.96338170131963,37.197584318562534,1,70,教育,bd09,,删除
472,烟台市莱州市文昌路街道双语社区水产局宿舍楼,119.93506333876199,37.18120282963525,1,70,政府机构,bd09,,删除
473,烟台市莱州市文昌路街道双语社区华汽宿舍楼,119.96338170131963,37.197584318562534,1,70,教育,bd09,,删除
474,烟台市莱州市文昌路街道双语社区霸力宿舍楼,119.96338170131963,37.197584318562534,1,70,教育,bd09,,删除
475,烟台市莱州市文昌路街道双语社区三丰宿舍,119.96338170131963,37.197584318562534,1,70,教育,bd09,,删除
476,烟台市莱州市文昌路街道文泉社区恒泰宿舍,119.95186075349308,37.20652084359593,1,70,汽车服务,bd09,,删除
477,烟台市莱州市文昌路街道文泉社区银磊宿舍,119.96066899834062,37.174463978941084,1,70,地产小区,bd09,,删除
478,烟台市莱州市文昌路街道文泉社区文泉花园东院,119.9583512889989,37.17427544269617,1,70,地产小区,bd09,,删除
479,烟台市莱州市文昌路街道文泉社区文泉花园西院,119.9583512889989,37.17427544269617,1,70,地产小区,bd09,,删除
480,烟台市莱州市文昌路街道文泉社区雕刻厂、矿业、建管局平房,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
481,烟台市莱州市文昌路街道文泉社区金泉摇臂厂宿舍楼、乡企局宿舍楼,119.94692160030756,37.17507034002568,0,50,NoClass,bd09,,删除
482,烟台市莱州市文昌路街道文泉社区缝纫机厂8号楼（东升南）,119.95209781631716,37.174977319450115,0,50,NoClass,bd09,,删除
483,烟台市莱州市文昌路街道文泉社区缝纫机厂宿舍院,119.95209781631716,37.174977319450115,0,50,NoClass,bd09,,删除
484,烟台市莱州市文昌路街道文泉社区小龙巷、蔬菜楼,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
485,烟台市莱州市文昌路街道文泉社区弘宇宿舍院,119.91326918946223,37.148357620042226,0,50,NoClass,bd09,,删除
486,烟台市莱州市文昌路街道文泉社区边防、新华书店、房管平房、食品公司沿街楼,119.94478776539917,37.18951631271982,0,50,NoClass,bd09,,删除
487,烟台市莱州市文昌路街道文泉社区凯润滨河城,119.95906516368309,37.17171440949722,1,70,地产小区,bd09,,删除
488,烟台市莱州市文昌路街道定海社区金辉公寓,119.954446436073,37.19108325316615,1,70,地产小区,bd09,,删除
489,烟台市莱州市文昌路街道定海社区农机局宿舍楼,119.95514540759031,37.19109324318671,1,70,政府机构,bd09,,删除
490,烟台市莱州市文昌路街道定海社区民政局宿舍楼,119.95475518367678,37.189593431508364,1,70,政府机构,bd09,,删除
491,烟台市莱州市文昌路街道定海社区明珠园小区,119.95288446245226,37.19157786538879,1,70,地产小区,bd09,,删除
492,烟台市莱州市文昌路街道定海社区光州路住宅东区,119.9515430228342,37.192888478545086,0,50,NoClass,bd09,,删除
493,烟台市莱州市文昌路街道定海社区设计院宿舍楼,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
494,烟台市莱州市文昌路街道定海社区交通局宿舍楼,119.96546693789996,37.206867187911215,1,70,政府机构,bd09,,删除
495,烟台市莱州市文昌路街道定海社区黄金小院,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
496,烟台市莱州市文昌路街道定海社区兽医站宿舍楼,119.9540770528473,37.18957718841504,1,70,生活服务,bd09,,删除
497,烟台市莱州市文昌路街道定海社区人民医院,119.9859529747161,37.18386594149152,1,70,医疗,bd09,,删除
498,烟台市莱州市文昌路街道定海社区金丰苑,119.95096217849145,37.18736442930918,1,70,地产小区,bd09,,删除
499,烟台市莱州市文昌路街道定海社区天盛佳苑,119.95311290154343,37.19012592990364,1,70,地产小区,bd09,,删除
500,烟台市莱州市文昌路街道齐东社区文萃佳苑,119.97998669901048,37.19115246457616,1,70,地产小区,bd09,,删除
501,烟台市莱州市文昌路街道齐东社区明珠花苑,119.98075996039347,37.19294273956244,1,70,地产小区,bd09,,删除
502,烟台市莱州市文昌路街道齐东社区安邦公寓,119.98151786075225,37.19449236012205,1,70,地产小区,bd09,,删除
503,烟台市莱州市文昌路街道齐东社区明德佳苑,119.98272455454381,37.1928444228822,1,70,地产小区,bd09,,删除
504,烟台市莱州市文昌路街道齐东社区北五里新村,119.94922117258255,37.175277587152316,0,25,乡镇,bd09,,删除
505,烟台市莱州市文昌路街道齐东社区幸福里,119.97978107687926,37.18940893563495,1,70,地产小区,bd09,,删除
506,烟台市莱州市文昌路街道东莱社区祥龙云海小区,119.95089597337535,37.185985940834485,1,70,地产小区,bd09,,删除
507,烟台市莱州市文昌路街道东莱社区星辉大厦,119.9468022155053,37.18126335268915,1,75,商务大厦,bd09,,删除
508,烟台市莱州市文昌路街道东莱社区银资府东苑小区,119.95045517486162,37.18628149251074,1,70,地产小区,bd09,,删除
509,烟台市莱州市文昌路街道东莱社区府东院小区,119.95014867302162,37.18355277020123,1,70,地产小区,bd09,,删除
510,烟台市莱州市文昌路街道东莱社区府西院小区,119.9478687736373,37.186098354109525,1,70,地产小区,bd09,,删除
511,烟台市莱州市文昌路街道东莱社区公路局、烟酒公司小区,119.94677409854283,37.18763733524895,1,70,政府机构,bd09,,删除
512,烟台市莱州市文昌路街道东莱社区锦绣苑小区,119.9537001238553,37.1820777495956,1,70,地产小区,bd09,,删除
513,烟台市莱州市文昌路街道东莱社区新世纪小区,119.9457266743182,37.18697681060361,1,75,宾馆,bd09,,删除
514,烟台市莱州市文昌路街道东莱社区农机公司小区,119.91322939452813,37.14660000671522,0,50,NoClass,bd09,,删除
515,烟台市莱州市文昌路街道东莱社区市府院小区,119.9477340278108,37.18295898463872,1,70,地产小区,bd09,,删除
516,烟台市莱州市文昌路街道东莱社区工行、金谷源小区,119.94782897870319,37.18126018996545,1,70,生活服务,bd09,,删除
517,烟台市莱州市文昌路街道东莱社区林业局、妇保院、果品公司小区,119.95263042165402,37.18782363233262,1,70,医疗,bd09,,删除
518,烟台市莱州市文昌路街道东莱社区武装部小区,119.9477340278108,37.18295898463872,1,70,地产小区,bd09,,删除
519,烟台市莱州市文昌路街道东莱社区电影公司小区,119.94671031885161,37.186083691517986,0,50,NoClass,bd09,,删除
520,烟台市莱州市文昌路街道东莱社区经贸局住宅小区,119.9477340278108,37.18295898463872,1,70,地产小区,bd09,,删除
521,烟台市莱州市文昌路街道东莱社区德裕昌、供销社、京剧团小区,119.94947709982235,37.181289445154555,0,50,NoClass,bd09,,删除
522,烟台市莱州市文昌路街道东莱社区实验小学家属楼,119.95099406833704,37.181707139003535,1,70,教育,bd09,,删除
523,烟台市莱州市文昌路街道东莱社区中心粮店、建行小区,119.95093478017338,37.18240580600602,1,70,金融,bd09,,删除
524,烟台市莱州市文昌路街道北关社区西区19号20号楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
525,烟台市莱州市文昌路街道北关社区西区22、21、24,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
526,烟台市莱州市文昌路街道北关社区拿力大厦、平房,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
527,烟台市莱州市文昌路街道北关社区土产中行家属楼,119.9617038462881,37.18707039127219,1,70,金融,bd09,,删除
528,烟台市莱州市文昌路街道北关社区明辉小区,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
529,烟台市莱州市文昌路街道北关社区土产供销沿街楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
530,烟台市莱州市文昌路街道北关社区金都大厦,119.94718597161915,37.18733747646949,1,75,商务大厦,bd09,,删除
531,烟台市莱州市文昌路街道北关社区西区综合楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
532,烟台市莱州市文昌路街道北关社区国税家属楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
533,烟台市莱州市文昌路街道北关社区建发、粮食局家属楼,119.95155299402536,37.19536496880467,1,70,政府机构,bd09,,删除
534,烟台市莱州市文昌路街道北关社区西区3、5、14、16号楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
535,烟台市莱州市文昌路街道北关社区西区正23、负23、48,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
536,烟台市莱州市文昌路街道北关社区西区1-10号楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
537,烟台市莱州市文昌路街道北关社区西区17、18号楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
538,烟台市莱州市文昌路街道北关社区公路局家属楼,119.94677409854283,37.18763733524895,1,70,政府机构,bd09,,删除
539,烟台市莱州市文昌路街道北关社区市联社家属楼,119.94737740052332,37.19126062973574,1,70,地产小区,bd09,,删除
540,烟台市莱州市文昌路街道北关社区新天地家属楼,119.95363553568914,37.19685065115703,0,50,村庄,bd09,,删除
541,烟台市莱州市文昌路街道北关社区印象城家属楼,119.95463642768836,37.18780983256454,1,70,生活服务,bd09,,删除
542,烟台市莱州市文昌路街道文景社区文景阳光城,119.94337909565353,37.16762018870291,1,70,地产小区,bd09,,删除
