街道名称,小区名称,住户人数,建筑面积,机构名称
东莱街道,东莱街道财源佳园,550,82.5,润新社区养老服务中心
东莱街道,东莱街道沁园南区,170,25.5,林苑社区养老服务中心
东莱街道,东莱街道博士小区,922,138.3,遇家日间照料中心
东莱街道,东莱街道松青苑,372,55.8,恒康日间照料中心
东莱街道,东莱街道龙门花园,1396,209.4,恒康日间照料中心
龙港街道,龙港街道中韵花园,938,140.7,胜利社区日间照料中心
东莱街道,东莱街道阳光花园小区,756,113.4,恒康日间照料中心
龙港街道,龙港街道星海国际,1121,168.15,逄家社区日间照料中心
龙港街道,龙港街道阳光康城,412,61.8,逄家社区日间照料中心
龙港街道,龙港街道龙中家园,148,22.2,逄家社区日间照料中心
,烟台市莱州市城港路街道玉皇苑社区玉皇苑小区,976,800,共玉皇苑社区老年人日间照料中心
,烟台市莱州市城港路街道玉皇苑社区开建小区,730,800,共玉皇苑社区老年人日间照料中心
,烟台市莱州市城港路街道玉皇苑社区乐苑小区,415,800,共玉皇苑社区老年人日间照料中心
,烟台市莱州市城港路街道玉皇苑社区城市丽景小区,180,800,共玉皇苑社区老年人日间照料中心
,烟台市莱州市城港路街道玉皇苑社区建发小区,228,800,共玉皇苑社区老年人日间照料中心
,烟台市烟台市莱州市城港路街道北苑社区粮建小区,1828,360,北苑社区老年人日间照料中心
,烟台市莱州市城港路街道北苑社区开元小区,240,360,北苑社区老年人日间照料中心
,烟台市莱州市程郭镇坊苑社区坊苑小区,1450,800,坊苑社区老年人日间照料中心
,烟台市莱州市程郭镇坊苑社区紫景花园小区,986,800,坊苑社区老年人日间照料中心
,烟台市莱州市程郭镇坊苑社区交通小区,312,800,坊苑社区老年人日间照料中心
,烟台市莱州市永安路街道泛华社区,256,1270,镁矿社区老年人日间照料中心
,烟台市莱州市文昌路街道碑坡社区文苑世家,950,1100,碑坡社区老年人日间照料中心
,烟台市莱州市文昌路街道碑坡社区博雅花园,336,1100,碑坡社区老年人日间照料中心
,烟台市莱州市文昌路街道云峰社区东小区,1420,752,西岭子社区老年人日间照料中心
,烟台市莱州市文昌路街道云峰社区云峰小区,744,752,西岭子社区老年人日间照料中心
,烟台市莱州市文昌路街道云峰社区元通小区,96,752,西岭子社区老年人日间照料中心
,烟台市莱州市文昌路街道云峰社区合众小区,160,752,西岭子社区老年人日间照料中心
,烟台市莱州市文昌路街道云峰社区鑫盛家园,480,752,西岭子社区老年人日间照料中心
,烟台市莱州市文昌路街道云峰社区自来水家属楼,80,752,西岭子社区老年人日间照料中心
,烟台市莱州市文昌路街道明苑社区云峰名苑,720,300,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道明苑社区尚东城,420,300,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道明苑社区云峰名苑D区,748,300,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道明苑社区云峰花园,802,300,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区玫瑰苑东区,474,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区玫瑰苑西区,242,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区宏福苑,318,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区财政局,60,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区工艺绣品厂,117,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区法院,92,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区农行院内,77,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区新城矿,60,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区农信社,90,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区审计局,80,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区静虹公寓,60,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区燃料公司,30,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区恒丰银行,78,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区粮食局,60,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区房产公寓,376,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区物资局,58,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区金辉家园,441,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道光州社区园林平房,20,306,光州社区老年人日间照料中心
,烟台市莱州市文昌路街道东南隅社区艺苑小区,2526,300,东南隅社区老年人日间照料中心
,烟台市莱州市文昌路街道东南隅社区金田公司,72,300,东南隅社区老年人日间照料中心
,烟台市莱州市文昌路街道东南隅社区公安局家属楼,92,300,东南隅社区老年人日间照料中心
,烟台市莱州市文昌路街道东南隅社区服装厂,72,300,东南隅社区老年人日间照料中心
,烟台市莱州市文昌路街道东南隅社区二四八楼、平房,68,300,东南隅社区老年人日间照料中心
,烟台市莱州市文昌路街道东南隅社区商住楼,20,300,东南隅社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区文博园小区,552,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区东环路小区,507,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区公安局家属楼,40,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区工商家属楼,30,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区隔热材料厂,72,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区教体局,234,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区面粉厂,60,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区就业办,50,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区蔬菜公司,60,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区老一中,180,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区干休所,430,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区军休所,394,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区平达,60,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区高职南校,20,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区环保局,72,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道东关社区乡企局,64,1670,东关社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区教育路北区,861,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区文华小区,768,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区双语小区,534,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区东庄头新村,162,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区精磊宿舍楼,137,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区水产局宿舍楼,60,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区华汽宿舍楼,82,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区霸力宿舍楼,86,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道双语社区三丰宿舍,96,775,东庄头社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区恒泰宿舍,90,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区银磊宿舍,295,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区文泉花园东院,300,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区文泉花园西院,276,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区雕刻厂、矿业、建管局平房,85,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区金泉摇臂厂宿舍楼、乡企局宿舍楼,100,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区缝纫机厂8号楼（东升南）,40,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区缝纫机厂宿舍院,310,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区小龙巷、蔬菜楼,65,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区弘宇宿舍院,183,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区边防、新华书店、房管平房、食品公司沿街楼,48,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道文泉社区凯润滨河城,760,1100,文泉社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区金辉公寓,165,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区农机局宿舍楼,52,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区民政局宿舍楼,32,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区明珠园小区,744,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区光州路住宅东区,602,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区设计院宿舍楼,36,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区交通局宿舍楼,60,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区黄金小院,390,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区兽医站宿舍楼,20,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区人民医院,232,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区金丰苑,197,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道定海社区天盛佳苑,198,788,定海社区老年人日间照料中心
,烟台市莱州市文昌路街道齐东社区文萃佳苑,576,750,北五里社区老年人日间照料中心
,烟台市莱州市文昌路街道齐东社区明珠花苑,717,750,北五里社区老年人日间照料中心
,烟台市莱州市文昌路街道齐东社区安邦公寓,410,750,北五里社区老年人日间照料中心
,烟台市莱州市文昌路街道齐东社区明德佳苑,319,750,北五里社区老年人日间照料中心
,烟台市莱州市文昌路街道齐东社区北五里新村,280,750,北五里社区老年人日间照料中心
,烟台市莱州市文昌路街道齐东社区幸福里,553,750,北五里社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区祥龙云海小区,582,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区星辉大厦,480,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区银资府东苑小区,423,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区府东院小区,201,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区府西院小区,182,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区公路局、烟酒公司小区,134,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区锦绣苑小区,108,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区新世纪小区,96,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区农机公司小区,90,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区市府院小区,88,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区工行、金谷源小区,86,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区林业局、妇保院、果品公司小区,79,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区武装部小区,68,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区电影公司小区,67,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区经贸局住宅小区,48,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区德裕昌、供销社、京剧团小区,42,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区实验小学家属楼,38,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道东莱社区中心粮店、建行小区,32,1100,府前街社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区19号20号楼,72,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区22、21、24,162,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区拿力大厦、平房,103,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区土产中行家属楼,78,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区明辉小区,155,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区土产供销沿街楼,80,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区金都大厦,178,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区综合楼,70,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区国税家属楼,64,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区建发、粮食局家属楼,55,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区3、5、14、16号楼,201,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区正23、负23、48,130,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区1-10号楼,330,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区西区17、18号楼,120,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区公路局家属楼,96,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区市联社家属楼,120,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区新天地家属楼,60,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道北关社区印象城家属楼,768,1200,北关社区老年人日间照料中心
,烟台市莱州市文昌路街道文景社区文景阳光城,680,1700,八蜡庙社区老年人日间照料中心
,烟台市莱州市文昌路街道文景社区文景凤凰城,2008,1700,八蜡庙社区老年人日间照料中心
,烟台市莱州市文昌路街道文景社区文景家园（二层楼）,122,1700,八蜡庙社区老年人日间照料中心
,烟台市莱州市文昌路街道文景社区弘宇家属楼,100,1700,八蜡庙社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区教育路八区,479,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区教育路九区,498,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区教育路十区,518,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区慢性病院,40,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区东辉公寓,92,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区嘉乐园,322,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区中保公司,30,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区文渊公寓,279,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区烟信,132,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区文馨,96,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区银资,96,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道崇文社区中医院,170,600,崇文社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区（A区）,970,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区（B区路南）,344,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区（B区路北）,294,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区C区,162,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区金都家园,96,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区安居,216,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区生资,60,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区建行家属楼,60,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区商检家属楼,32,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区残联家属楼,48,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区啤酒厂家属楼,182,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区奥城,430,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道汇泉社区仓上金矿家属楼,270,320,汇泉社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区食品厂平房,61,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区鼓楼公寓,84,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区粮食局楼,53,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区鸿德园楼,82,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区阳光大厦,460,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区材机厂平房,31,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区百大宿舍楼,40,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区展销楼,76,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区市联社,28,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区粮贸,45,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区电信宿舍楼,99,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区三院宿舍,64,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区材机厂家属院,188,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区植物油厂楼,85,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区银资百大,70,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区梅苑华庭,414,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区福莱新城         ,748,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道鼓楼社区金地佳园,188,1100,鼓楼社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区教育路1-7区,2816,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区教育路小区北区,102,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区农机局3号楼,50,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区洲元大厦,113,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区实验中学,90,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区邮政局,32,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区复合材料长,48,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区电机厂家属楼,70,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区维特公寓,115,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区农机局,36,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区党校家属楼,180,1364,教育路社区老年人日间照料中心
,烟台市莱州市文昌路街道教育路社区开建宝地,256,1364,教育路社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区电业局南家属区,160,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区水利局家属区,170,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区体委,124,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区塑料厂,104,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区电业局大原家家属区,200,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区河滨公寓,435,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区部队南北院,204,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区运输公司家属区,148,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区建委楼家属区,140,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区宏达家园,414,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区慧丰苑,260,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区发电厂家属区,148,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区大原家家属区,126,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道河滨社区河西平房区,190,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道景阳社区老区,280,822,河滨社区老年人日间照料中心
,烟台市莱州市永安路街道景阳社区新区,2170,822,河滨社区老年人日间照料中心
,烟台市莱州市永安路街道景阳社区阳光,150,822,河滨社区老年人日间照料中心
,烟台市莱州市永安路街道景阳社区印刷厂,80,822,河滨社区老年人日间照料中心
,烟台市莱州市永安路街道景阳社区山水国际,460,822,河滨社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区食品厂  ,258,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区艺品厂   ,180,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区材机厂 ,610,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区摇臂厂   ,631,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区新世纪宿舍 ,238,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区莱州中学  ,145,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道武安社区姜家胡同  ,136,880,西关社区老年人日间照料中心
,烟台市莱州市永安路街道泛华社区广场花园,995,1270,镁矿社区老年人日间照料中心
,烟台市莱州市永安路街道泛华社区泛华中区,800,1270,镁矿社区老年人日间照料中心
,烟台市莱州市永安路街道泛华社区馨园北区,288,1270,镁矿社区老年人日间照料中心
,烟台市莱州市永安路街道泛华社区泛华南区,230,1270,镁矿社区老年人日间照料中心
,烟台市莱州市永安路街道泛华棉纺厂1号、2号楼,420,1270,镁矿社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区永安公寓,289,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区人民银行平房,120,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区馨园小区,160,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区文盛公寓,280,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区霸力大厦,130,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区市联社、馨园亭子,140,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区化工厂、建发楼,157,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区水利局3#,220,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区福嘉苑小区,180,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区玻璃厂宿舍楼,142,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区大骋楼,120,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区百大宿舍楼,270,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区水泥厂,148,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区化轻楼,220,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道西苑社区印染厂平房,80,350,西苑社区老年人日间照料中心
,烟台市莱州市永安路街道光安社区花旗绿城,1230,785,光安社区老年人日间照料中心
,烟台市莱州市永安路街道光安社区公安小区,850,785,光安社区老年人日间照料中心
,烟台市莱州市永安路街道光安社区广场公寓,328,785,光安社区老年人日间照料中心
,烟台市莱州市永安路街道光安社区安全局,40,785,光安社区老年人日间照料中心
,烟台市莱州市永安路街道金都社区商业大厦住宅,125,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区 大骋住宅,128,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区水产住宅,125,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区新平家园住宅,168,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区金都花园住宅,145,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区汽车六场住宅,124,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区部队公寓住宅,142,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区 丝绸公司住宅,111,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区美乐家园住宅,212,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区金矿住宅,130,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区建发小区住宅,184,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区十家巷住宅,90,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区新安家园住宅,120,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区酒厂住宅,159,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区商业大厦住宅,130,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区商业系统住宅,140,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区食品公司住宅,116,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区行星住宅,160,2000,金都社区综合养老服务中心
,烟台市莱州市永安路街道金都社区银资家园住宅,384,2000,金都社区综合养老服务中心
,烟台市莱州市程郭镇英才社区福莱美景小区,1600,300,英才社区老年人日间中心
,烟台市莱州市程郭镇英才社区文汇小区,100,300,英才社区老年人日间中心
,烟台市莱州市程郭镇坊苑东区,287,800,坊苑社区老年人日间照料中心
,烟台市莱州市程郭镇坊苑西区,568,800,坊苑社区老年人日间照料中心
,烟台市莱州市程郭镇东苑新区,365,300,东苑社区老年人日间照料中心
,烟台市莱州市程郭镇东苑南区,351,300,东苑社区老年人日间照料中心
,烟台市莱州市程郭镇东苑北区,359,300,东苑社区老年人日间照料中心
南长山街道,长岛县南长山街道瀛洲小区,220,500,养老综合服务中心
,长岛县南长山街道泰和水岸,398,500,养老综合服务中心
,长岛县南长山街道党校小区,135,500,养老综合服务中心
,长岛县南长山街道翠海茗居,212,500,养老综合服务中心
,长岛县南长山街道悦海假日,350,500,养老综合服务中心
,长岛县南长山街道阳光小区,140,200,养老综合服务中心
,长岛县南长山街道闻涛花园,108,200,养老综合服务中心
,长岛县南长山街道聚仙假日,336,200,养老综合服务中心
